t,pt/0/x,pt/0/y,pt/0/l,pt/1/x,pt/1/y,pt/1/l,pt/2/x,pt/2/y,pt/2/l,pt/3/x,pt/3/y,pt/3/l
108,883,338,0,883,560,0,1261,560,0,1261,338,0
109,879,338,0,879,560,0,1257,560,0,1257,338,0
110,861,338,1,861,560,1,1278,560,1,1278,338,1
111,861,338,0,861,560,0,1278,560,0,1278,338,0
112,852,338,0,852,560,0,1269,560,0,1269,338,0
113,848,338,1,848,560,1,1278,560,1,1278,338,1
114,844,338,0,844,560,0,1274,560,0,1274,338,0
115,840,338,0,840,560,0,1270,560,0,1270,338,0
116,825,338,1,825,560,1,1278,560,1,1278,338,1
117,821,338,0,821,560,0,1274,560,0,1274,338,0
118,817,338,0,817,560,0,1270,560,0,1270,338,0
119,801,338,1,801,560,1,1278,560,1,1278,338,1
120,801,338,0,801,560,0,1278,560,0,1278,338,0
121,793,338,0,793,560,0,1270,560,0,1270,338,0
122,789,338,0,789,560,0,1266,560,0,1266,338,0
123,774,338,1,774,560,1,1278,560,1,1278,338,1
124,770,338,0,770,560,0,1274,560,0,1274,338,0
125,766,338,0,766,560,0,1270,560,0,1270,338,0
126,762,338,1,762,560,1,1278,560,1,1278,338,1
127,758,338,0,758,560,0,1274,560,0,1274,338,0
128,754,338,0,754,560,0,1270,560,0,1270,338,0
129,750,338,0,750,560,0,1266,560,0,1266,338,0
130,746,338,0,746,560,0,1262,560,0,1262,338,0
131,742,338,0,742,560,0,1258,560,0,1258,338,0
132,728,338,1,728,560,1,1278,560,1,1278,338,1
133,724,338,0,724,560,0,1274,560,0,1274,338,0
134,720,338,0,720,560,0,1270,560,0,1270,338,0
135,716,338,1,716,560,1,1278,560,1,1278,338,1
136,712,338,0,712,560,0,1274,560,0,1274,338,0
137,708,338,0,708,560,0,1270,560,0,1270,338,0
138,697,338,1,697,560,1,1278,560,1,1278,338,1
139,693,338,0,693,560,0,1274,560,0,1274,338,0
140,689,338,0,689,560,0,1270,560,0,1270,338,0
141,675,338,1,675,560,1,1257,560,1,1257,338,1
142,672,338,0,672,560,0,1254,560,0,1254,338,0
143,669,338,0,669,560,0,1251,560,0,1251,338,0
144,660,337,1,660,559,1,1242,559,1,1242,337,1
145,657,337,0,657,559,0,1239,559,0,1239,337,0
146,654,337,0,654,559,0,1236,559,0,1236,337,0
147,635,337,1,635,559,1,1217,559,1,1217,337,1
148,632,337,0,632,559,0,1214,559,0,1214,337,0
149,629,337,0,629,559,0,1211,559,0,1211,337,0
150,620,339,1,620,561,1,1202,561,1,1202,339,1
151,617,339,0,617,561,0,1199,561,0,1199,339,0
152,614,339,0,614,561,0,1196,561,0,1196,339,0
153,611,339,0,611,561,0,1193,561,0,1193,339,0
154,608,339,0,608,561,0,1190,561,0,1190,339,0
155,605,339,0,605,561,0,1187,561,0,1187,339,0
156,597,337,1,597,559,1,1153,559,1,1153,337,1
157,594,337,0,594,559,0,1150,559,0,1150,337,0
158,591,337,0,591,559,0,1147,559,0,1147,337,0
159,579,332,1,579,554,1,1135,554,1,1135,332,1
160,576,332,0,576,554,0,1132,554,0,1132,332,0
161,570,332,0,570,554,0,1126,554,0,1126,332,0
162,555,334,1,555,556,1,1111,556,1,1111,334,1
163,555,334,0,555,556,0,1111,556,0,1111,334,0
164,552,334,0,552,556,0,1108,556,0,1108,334,0
165,549,334,0,549,556,0,1105,556,0,1105,334,0
166,546,334,0,546,556,0,1102,556,0,1102,334,0
167,543,334,0,543,556,0,1099,556,0,1099,334,0
168,530,336,1,530,558,1,1086,558,1,1086,336,1
169,528,336,0,528,558,0,1084,558,0,1084,336,0
170,526,336,0,526,558,0,1082,558,0,1082,336,0
171,516,336,1,516,558,1,1072,558,1,1072,336,1
172,514,336,0,514,558,0,1070,558,0,1070,336,0
173,512,336,0,512,558,0,1068,558,0,1068,336,0
174,508,336,0,508,558,0,1064,558,0,1064,336,0
175,503,336,1,503,558,1,1059,558,1,1059,336,1
176,501,336,0,501,558,0,1057,558,0,1057,336,0
177,500,336,0,500,558,0,1056,558,0,1056,336,0
178,487,337,1,487,559,1,1043,559,1,1043,337,1
179,486,337,0,486,559,0,1042,559,0,1042,337,0
180,479,338,0,479,560,0,1035,560,0,1035,338,0
181,463,338,1,463,560,1,1019,560,1,1019,338,1
182,461,338,0,461,560,0,1017,560,0,1017,338,0
183,460,338,0,460,560,0,1016,560,0,1016,338,0
184,450,337,1,450,559,1,1006,559,1,1006,337,1
185,449,337,0,449,559,0,1005,559,0,1005,337,0
186,448,337,0,448,559,0,1004,559,0,1004,337,0
187,445,337,0,445,559,0,1001,559,0,1001,337,0
188,444,337,0,444,559,0,1000,559,0,1000,337,0
189,443,337,0,443,559,0,999,559,0,999,337,0
190,432,337,1,432,559,1,988,559,1,988,337,1
191,431,337,0,431,559,0,987,559,0,987,337,0
192,430,337,0,430,559,0,986,559,0,986,337,0
193,422,337,1,422,559,1,978,559,1,978,337,1
194,421,337,0,421,559,0,977,559,0,977,337,0
195,421,337,0,421,559,0,977,559,0,977,337,0
196,412,333,1,412,555,1,968,555,1,968,333,1
197,412,333,0,412,555,0,968,555,0,968,333,0
198,412,333,0,412,555,0,968,555,0,968,333,0
199,405,333,1,405,555,1,961,555,1,961,333,1
200,405,333,0,405,555,0,961,555,0,961,333,0
201,405,333,0,405,555,0,961,555,0,961,333,0
202,395,333,1,395,555,1,951,555,1,951,333,1
203,395,333,0,395,555,0,951,555,0,951,333,0
204,395,333,0,395,555,0,951,555,0,951,333,0
205,388,332,1,388,554,1,944,554,1,944,332,1
206,388,332,0,388,554,0,944,554,0,944,332,0
207,388,332,0,388,554,0,944,554,0,944,332,0
208,385,331,1,385,553,1,941,553,1,941,331,1
209,385,331,0,385,553,0,941,553,0,941,331,0
210,385,331,0,385,553,0,941,553,0,941,331,0
211,373,331,1,373,553,1,929,553,1,929,331,1
212,373,331,0,373,553,0,929,553,0,929,331,0
213,373,331,0,373,553,0,929,553,0,929,331,0
214,366,331,1,366,553,1,922,553,1,922,331,1
215,366,331,0,366,553,0,922,553,0,922,331,0
216,367,331,0,367,553,0,923,553,0,923,331,0
217,367,331,0,367,553,0,923,553,0,923,331,0
218,367,331,0,367,553,0,923,553,0,923,331,0
219,367,331,0,367,553,0,923,553,0,923,331,0
